0, MARRAKECH - CHARGES DE CLIENTÈLE EN LANGUE ALLEMANDE - RECEPTION D'APPELS,Centres d'appels, Marrakech ,6 heures avant,Société: JOB DEVELOPPEMENT , CDI ,"Bac +2/4 préférence commercial, marketing ou technique. Maîtrise parfaite de la langue allemande + un niveau de français passable. Connaissance de l'outil informatique obligatoire. Offrons: Salaire fixe + primes mensuelles. Heures supplémentaires rémunérées. Couverture sociale intégrale CNSS, mutuelle privée. Transport assuré. Plan de carrière, évolution tous les 6 mois par formation continue en interne afin d'atteindre des postes d'encadrement. Nos recruteurs sont à votre écoute et vous fournirons gratuitement toutes les informations que vous jugerez utiles concernant votre demande d'emploi Envoyez votre CV: recrutement@jobdeveloppement.net Tél.0661476387 ","Dans le cadre de son développement et la diversification de ses offres, un de nos clients recrute pour le compte d’un de ses partenaires des conseillers clients germanophones, flamands ou néerlandais. Travail stable et cadre agréable. Candidats sans expérience acceptés. Formation de haut niveau assurée.",Recrutement Centre d'appel et autres, CDI , Métiers des centres d'appels , Débutant (de 1 à 3 ans) , BAC+2 , Allemand 
394, CASABLANCA - RÉCEPTION D'APPELS SERVICE CLIENT FRANCOPHONE,Centres d'appels, Casablanca ,1 mois avant,Société: JOB DEVELOPPEMENT , CDI ,Profil recherché : Excellente maîtrise du français à l'oral et à l'écrit. Bonne capacité d'écoute et bonne reformulation. Assidu et ponctuel. Merci de nous envoyer votre CV à : recrutement@jobdeveloppement.net TEL 06 68 74 22 84.,"Nous recrutons des charges de clientèle en réception d'appels, pour un fournisseur de gaz et d’électricité français. Votre mission : Consiste à donner aux clients les informations relatives à leurs demandes. Avantages du poste : Horaires rotatifs. Salaire 4500dhs + prime de rendement Contrat CDI + AVANTAGES SOCIAUX (CNSS+mutuelle privée) Formation rémunérée a 100 % du salaire.",Recrutement Centre d'appel et autres, CDI , Métiers des centres d'appels , Débutant (de 1 à 3 ans) , BAC+2 , Français 
395, CHARGÉS DE CLIENTÈLE EN RÉCEPTION D'APPELS FRANCO/ANGLOPHONE A MARRAKECH ET AGADIR,Centres d'appels, Marrakech / Agadir ,1 mois avant,Société: Co Managers , CDI ,"Très bon niveau de la langue ciblée français et anglais (C1) Excellente fibre commerciale. Aisance relationnelle et courtoisie. Rigueur, dynamisme et persévérance. Engagement envers l'excellence du service client et la création de relations durables.","CoManagers recrute pour une multinationale spécialisée en gestion de la relation client des agents franco-anglophones pour le secteur du travel. Offre: Un contrat CDI+CNSS+mutuelle privée+CIMR. Un salaire fixe de 5500 dh +prime de performance de 1500 dh Formation continue et montée en compétences. Formation rémunérée dès le premier mois. Un bonus spécial pour la célébration de l’« Aïd El Adha ». Inclusion d'une couverture santé privée complète avec soins dentaires. Possibilité d'accéder à des prêts financiers à des taux préférentiels pour des occasions spéciales telles que l'« Aid El Adha », le Ramadan, la rentrée scolaire, etc...",CABINET DE RECRUTEMENT ET DE CONSEIL EN RESSOURCES HUMAINES, CDI , Métiers des centres d'appels , Fraichement diplômé / Débutant (de 1 à 3 ans) / Junior (de 3 à 5 ans) / Senior (de 5 à 7 ans) / Confirmé (de 7 à 10 ans) , BAC+1 / BAC+2 / BAC+3 / BAC+4 / BAC+5 et plus , Français / Anglais 
396, Gestionnaire de sinistre-Conseiller en Assurance en réception d'appels /CASABLANCA,Centres d'appels, Casablanca ,1 mois avant,Société: Co Managers , CDI ,Excellente maîtrise du français à l'écrit et à l'oral Bonne écoute et empathie Capacités d'analyse Bonne fibre commerciale Assidu et ponctuel,"Nous recrutons pour le compte d'un centre d'appels d'une multinationale des agents de sinistres qui auront pour rôle de : Prendre en charge les déclarations de sinistres des clients de l'assurance et veiller à recueillir toutes les informations nécessaires pour assurer le suivi des dossiers. Faire preuve de professionnalisme et d'empathie et veiller à ce que le client soit satisfait de votre prestation. REMUNERATION ET AVANTAGES SOCIAUX : Un contrat CDI dès le 1er jour de formation avec une rémunération attractive (4500 DH fixe + 2500 DH de prime variable) Une carrière avantageuse par la promotion et la mobilité en interne à travers un système d'évaluation efficace, et des opportunités de montée en compétences Un engagement social fort grâce à de nombreuses conventions d'assurance (assurance santé avec accès aux soins dentaires dès le 1er jour de formation et prise en charge directe avec le Tiers payant, prix préférentiels sur les assurances auto et voyage) ...",CABINET DE RECRUTEMENT ET DE CONSEIL EN RESSOURCES HUMAINES, CDI , Métiers des centres d'appels , Fraichement diplômé / Débutant (de 1 à 3 ans) / Junior (de 3 à 5 ans) / Senior (de 5 à 7 ans) / Confirmé (de 7 à 10 ans) , BAC / BAC+1 / BAC+2 , Français 
397, CHARGES DE CLEINTELE FRANCO-ANGLOPHONE PARLANT LES 2 langues en réception sur marrakech,Autres, Marrakech ,1 mois avant,Société: ADDWORK , CDI ,"Notre centre de contact multicanal dispose d’une équipe de professionnels hautement qualifiée, ainsi que d’un ensemble d’outils et infrastructures techniques mise en place pour une gestion efficace de tout projet. Nous nous adaptons rapidement et efficacement aux besoins de nos clients dans le respect des objectifs fixés afin de gagner la confiance et la satisfaction des prospects à forts potentiels. Nos nombreuses années d’expériences en tant que centre d’appel francophone nous ont permis d’œuvrer et d’exceller dans plusieurs domaines d’activités.","Notre centre de contact multicanal dispose d’une équipe de professionnels hautement qualifiée, ainsi que d’un ensemble d’outils et infrastructures techniques mise en place pour une gestion efficace de tout projet. Nous nous adaptons rapidement et efficacement aux besoins de nos clients dans le respect des objectifs fixés afin de gagner la confiance et la satisfaction des prospects à forts potentiels. Nos nombreuses années d’expériences en tant que centre d’appel francophone nous ont permis d’œuvrer et d’exceller dans plusieurs domaines d’activités.",Cabinet de recrutement, CDI , Autres fonctions , Fraichement diplômé , BAC , Français 
398, Chargés de clientèle en TELEVENTE EXPERIMENTE OBLIGATOIREMENT,non spécifié, Casablanca ,1 mois avant,Société: ADDWORK , CDI ,"Notre centre de contact multicanal dispose d’une équipe de professionnels hautement qualifiée, ainsi que d’un ensemble d’outils et infrastructures techniques mise en place pour une gestion efficace de tout projet. Nous nous adaptons rapidement et efficacement aux besoins de nos clients dans le respect des objectifs fixés afin de gagner la confiance et la satisfaction des prospects à forts potentiels. Nos nombreuses années d’expériences en tant que centre d’appel francophone nous ont permis d’œuvrer et d’exceller dans plusieurs domaines d’activités.","Notre centre de contact multicanal dispose d’une équipe de professionnels hautement qualifiée, ainsi que d’un ensemble d’outils et infrastructures techniques mise en place pour une gestion efficace de tout projet. Nous nous adaptons rapidement et efficacement aux besoins de nos clients dans le respect des objectifs fixés afin de gagner la confiance et la satisfaction des prospects à forts potentiels. Nos nombreuses années d’expériences en tant que centre d’appel francophone nous ont permis d’œuvrer et d’exceller dans plusieurs domaines d’activités.",Cabinet de recrutement, CDI , Autres fonctions , Fraichement diplômé , BAC , Français 
399, Chargés de clientèle en RECEPTION SUR CASA,Autres, Casablanca ,1 mois avant,Société: ADDWORK , CDI ,"Notre centre de contact multicanal dispose d’une équipe de professionnels hautement qualifiée, ainsi que d’un ensemble d’outils et infrastructures techniques mise en place pour une gestion efficace de tout projet. Nous nous adaptons rapidement et efficacement aux besoins de nos clients dans le respect des objectifs fixés afin de gagner la confiance et la satisfaction des prospects à forts potentiels. Nos nombreuses années d’expériences en tant que centre d’appel francophone nous ont permis d’œuvrer et d’exceller dans plusieurs domaines d’activités.","Notre centre de contact multicanal dispose d’une équipe de professionnels hautement qualifiée, ainsi que d’un ensemble d’outils et infrastructures techniques mise en place pour une gestion efficace de tout projet. Nous nous adaptons rapidement et efficacement aux besoins de nos clients dans le respect des objectifs fixés afin de gagner la confiance et la satisfaction des prospects à forts potentiels. Nos nombreuses années d’expériences en tant que centre d’appel francophone nous ont permis d’œuvrer et d’exceller dans plusieurs domaines d’activités.",Cabinet de recrutement, CDI , Autres fonctions , Fraichement diplômé , BAC , Français 
400, SENEGALAIS avec carte de séjour valide maîtrisant l'anglais et le wolof pour de la modération de contenu,Centres d'appels, Casablanca ,1 mois avant,Société: Co Managers , CDD ,-H/F sénégalais avec carte de séjour valide (motif : travail) -Très bonne maîtrise de l'anglais C1 et du wolof-Disponibilité de suite -Capacité à travailler en équipe,CoManagers recrute des sénégalais avec carte de séjour valide maîtrisant l'anglais et le wolof pour de la modération de contenu. Votre rôle consistera à contrôler et le filtrer du contenu généré par les utilisateurs sur les plateformes en ligne. Nous proposons : -un contrat CDD -Un salaire de 4500 DH -Une prime variable de 1500 DH La formation rémunérée au salaire -Le transport assuré,CABINET DE RECRUTEMENT ET DE CONSEIL EN RESSOURCES HUMAINES, CDD , Métiers des centres d'appels , Fraichement diplômé / Débutant (de 1 à 3 ans) / Junior (de 3 à 5 ans) , BAC / BAC+1 / BAC+2 / BAC+3 , Anglais 
401, INFOGRAPHISTE,Industrie textile, Tanger ,1 mois avant,Société: plfsarl , CDI ,"Un(e) infographiste doté(e) d’un esprit créatif, artistique, bonne sensibilité graphique pour la réalisation des visuels et des concepts publicitaires. Le transport est assuré par la société. Salaire : 3500dh brut","- Vous devez maîtriser : Photoshop, Illustrator et le Pack office - Une expérience similaire dans les métiers des infographistes est appréciée. Avoir un bon niveau de français",Societe francaise implantee dans la zone franche, CDI , Marketing , Débutant (de 1 à 3 ans) , BAC+2 , Français 
402, Magasignier,Industrie automobile, Casablanca ,1 mois avant,Société: MARCOTEC , CDI ,"Réceptionner, inspecter et enregistrer les marchandises entrantes. Vérifier l'exactitude des livraisons et s'assurer de la conformité des produits. Organiser et ranger les produits dans le stock de manière efficace et ordonnée. Préparer les commandes en fonction des demandes des clients. Effectuer des inventaires réguliers pour assurer un suivi précis du stock. Maintenir un environnement de travail propre et sécurisé. Collaborer avec les autres membres de l'équipe pour garantir une excellente gestion du stock",D'un magasinier dynamique et organisé ,"Important groupe implanté sur Rabat, intervenant dans le secteur de l’immobilier, les infrastructures et la sécurité routière et les nouvelles technologies", CDI , Electricité / Electronique / Electrotechnique ,non spécifié, BAC+1 ,non spécifié
403, CONSEILLER(E) EN ASSURANCE AUTOMOBILE,Assurance, Kenitra ,1 mois avant,Société: S-PRO CALL CENTER , CDI ,"•Vous maîtrisez le français à l’oral et à l’écrit • Vous justifiez une première expérience en émission d'appels • Vous avez un goût prononcé pour la vente et vous aimez les challenges • Vous savez convaincre et adapter vos arguments en fonction de votre interlocuteur • Vous avez le sens de l’argumentation commerciale : aisance téléphonique, capacité à influencer, concentration sur les besoins clients/principaux avantages produits pour le client… • Vous êtes tenace et persévérant • Vous êtes reconnu pour votre bon relationnel • Vous êtes à l’aise avec l’outil informatique et internet Avantages sociaux et autres Nous vous offrons une rémunération attrayante, un planning fixe dont weekend off et une formation adaptée pour vous accompagner dans la réussite de votre mission Amplitude horaire 9h00 a 19h00 - week-end off Salaire Net + primesÀ négocier Comment postuler Si vous êtes intéressé(e) par ce poste et que vous répondez aux critères mentionnés ci-dessus, veuillez envoyer votre CV Veuillez indiquer le titre du poste dans l'objet de votre e-mail.",Conseiller commercial en assurance,"Dans le cadre de notre développement continu, nous recrutons des conseillers commerciaux en ASSURANCE AUTO pour notre site basé à KENITRA", CDI , Autres fonctions ,non spécifié,non spécifié, Français 
404, MARRAKECH - PROFILS BILINGUES : FRANÇAIS + ANGLAIS EN RÉCEPTION – TRANSPORT ASSURE,Centres d'appels, Marrakech ,1 mois avant,Société: JOB DEVELOPPEMENT , CDI ,"Bac +2/4 préférence commercial, marketing ou technique. Maîtrise parfaite des deux langues : anglais + français. Connaissance de l'outil informatique obligatoire. Offrons: Salaire fixe + prime de langue + prime production. Heures supplémentaires rémunérées. Couverture sociale intégrale CNSS, mutuelle privée. Transport assuré. Plan de carrière, évolution tous les 6 mois par formation continue en interne afin d'atteindre des postes d'encadrement. Nos recruteurs sont à votre écoute et vous fournirons gratuitement toutes les informations que vous jugerez utiles concernant votre demande d'emploi Envoyez-nous votre CV : recrutement@jobdeveloppement.net Tél. 0661476387","Dans le cadre de son développement et la diversification de ses offres, un de nos clients sur Marrakech, recrute pour le compte d’un de ses partenaires des agents de réservations bilingues : anglophones/ francophones en réception d’appels, ( les deux langues sont obligatoires). Travail stable et cadre agréable. Candidats sans expérience acceptés. Formation de haut niveau assurée. ",Recrutement Centre d'appel et autres, CDI , Métiers des centres d'appels , Débutant (de 1 à 3 ans) , BAC+2 , Français / Anglais 
405, Casa - Conseiller Client Francophone Service Après-Vente - Secteur Automobile,Centres d'appels, Casablanca ,1 mois avant,Société: JOB DEVELOPPEMENT , CDI ,"PROFIL RECHERCHE Français excellent, BAC toutes branches et plus, Mâtures et sérieux, Motivé par un plan de carrière vous évoluerez dans une entreprise qui offre de véritables opportunités. Nous offrons les avantages suivants : * Salaire net de 4500dhs + primes de production * Horaires 8H-18H ou 9H-19H + week-end off, * CNSS + Mutuelle privée, * Heures supplémentaires rémunérées, * Formation initiale rémunérée à 100%, * Challenges internes avec des lots à gagner, * Transport assuré. Envoyez votre CV à: recrutement@jobdeveloppement.net Tél.06 68 74 22 84. WhatsApp 06 68 74 22 84. ","Nous recrutons des chargés de clientèle en réception d’appels pour le service client D’UN GROUPE AUTOMOBILE INTERNATIONAL, afin de conseiller, assister et apporter des solutions à ses clients.",Recrutement Centre d'appel et autres, CDI , Métiers des centres d'appels , Débutant (de 1 à 3 ans) , BAC+2 , Français 
406, CASABLANCA - CONSEILLERS COMMERCIAUX EN RÉCEPTION D'APPELS - PRIMES DEPLAFONNEES,Centres d'appels, Casablanca ,1 mois avant,Société: JOB DEVELOPPEMENT , CDI ,"PROFILS RECHERCHES * BAC et plus toutes branches * Maîtrise parfaite de la langue française à l'oral comme à l'écrit, * Maîtrise des outils informatiques, * Fibre commerciale Nous vous offrons - Horaires de travail : entre 8H et 20H. deuxième jour au cours de la semaine. - Salaire net + Primes mensuelles déplafonnées. - Formation gratuite, rémunérée et assurée par des formateurs de haut niveau. - Couverture sociale intégrale CNSS, mutuelle privée - Plan de carrière, évolution en interne rapide. - Transport assuré. Si vous avez un vrai sens du service et si vous êtes animés par le goût du travail en équipe, contactez-nous et offrez-vous une vie professionnelle épanouissante. Nous vous rappelons que nos prestations sont GRATUITES et AUCUNE formation ne vous sera proposée. Nos recruteurs sont à votre écoute et vous fournirons gratuitement toutes les informations que vous jugerez utiles concernant votre demande d'emploi Envoyez votre CV à : recrutement@jobdeveloppement.net Tél. 06 68 74 22 84.","Après une formation de qualité et rémunérée par le Centre, Votre mission consiste à renseigner les clients sur les nouvelles offres proposées et à les accompagner sur les demandes à caractères techniques en l'occurrence les paramétrages multimédias. Le traitement est segmenté en deux opérations: EN RECEPTION D'appels et en MAILING Pour ce poste, nous exigeons une aisance en communication orale avec une bonne qualité rédactionnelle.",Recrutement Centre d'appel et autres, CDI , Métiers des centres d'appels , Débutant (de 1 à 3 ans) , BAC+2 , Français 
407, TESTERS,Informatique / Internet / Multimedia, Tanger ,1 mois avant,Société: ADS GLORY , CDI ,"AdsGlory is seeking a meticulous and detail-oriented Tester to join our dynamic team. As a Tester, you will play a crucial role in ensuring the quality and functionality of all the applications developed by our team. You will be responsible for thoroughly testing each application, identifying and reporting any bugs or issues to the development team, and ensuring that our products meet the highest standards of quality before release. Responsibilities : * Test all applications developed by the team across various platforms and devices. * Execute test cases and scenarios to identify bugs, defects, and issues in the applications. * Collaborate closely with the development team to understand the project requirements and ensure comprehensive test coverage. * Document and report bugs, defects, and issues using designated bug tracking tools. * Verify bug fixes and ensure that all reported issues are resolved satisfactorily. * Perform regression testing to ensure that previously identified issues have been addressed and no new issues have been introduced. * Provide feedback and suggestions for improving the overall quality and user experience of the applications. * Stay updated on industry best practices and emerging trends in software testing methodologies. Requirements: * Solid understanding of software testing principles, methodologies, and techniques. * Experience with manual testing, including test case design, execution, and defect tracking. * Familiarity with bug tracking tools such as JIRA, Bugzilla, or similar. * Strong analytical and problem-solving skills with a keen attention to detail. * Excellent communication and collaboration skills with the ability to work effectively in a team environment. *Ability to prioritize and manage multiple tasks in a fast-paced environment. ",.,Nous somme une société spécialisée dans le Web Marketing, CDI , Informatique / Internet / Multimedia , Débutant (de 1 à 3 ans) , BAC+4 , Français 
408, Conseillers Commerciaux Experts en Assurance/Mutuelle Santé : Salaire jusqu’à 30 000 dhs (Courtier Français),Centres d'appels, Rabat / Salé / Kenitra / Temara / Casablanca / Mohammedia ,1 mois avant,Société: CPA CS , CDI ,"Vous commercialisez l'offre assurance de nos compagnies partenaires et les services associés en proposant une solution complète que vous construirez en allant à la découverte, puis en approfondissant les besoins de nos prospects. Ceci afin de leur apporter la meilleure couverture possible contre les risques auxquels ils sont exposés dans leur vie de tous les jours. Afin d'accroitre votre réussite, vous serez accompagné dès les premiers jours de votre intégration et suivrez un parcours de formation complète alternant théorie et pratique. La qualité de service est notre priorité. Rémunération exceptionnelle, Package attractif composé d'un Salaire fixe et d'un variable (PRIMES DECLAREES à 100%) à la hauteur de votre réussite commerciale [Salaire Fixe à partir de 5000 dhs et allant jusqu'à 11 000 dhs + Commission non plafonnées à partir de 4000 dhs et allant jusqu’à 20 000 dhs] On vous propose un contrat CDI + avantages sociaux CNSS AMO Mutuelle...+ Un cadre de travail agréable et bien d'autres avantages ! Poste à pourvoir immédiatement","Avant tout, c'est votre personnalité et votre tempérament commercial qui feront la différence ! Idéalement, vous justifiez d'une formation commerciale, Bac+2 minimum, et avez de bons réflexes commerciaux. Capacité d'adaptation, aisance relationnelle, conviction et goût du travail en équipe sont les qualités nécessaires pour réussir ce poste clé de l'entreprise. Une excellente expression écrite et orale est un atout indispensable pour réussir votre mission.",CPA CS est un Cabinet de Courtage Français spécialisé dans le conseil et la ventes de produits d’assurances de particuliers pour le marché français basé à Casablanca et rabat., CDI , Banque / Assurance , Débutant (de 1 à 3 ans) , BAC+2 , Français 
409, Conseillers Commerciaux Experts en Assurance SANTE + AUTO + DECENNALE : Rem jusqu’à 35 000 dhs,Centres d'appels, Rabat / Salé / Kenitra / Temara / Casablanca / Mohammedia ,1 mois avant,Société: CPA MAROC , CDI ,"Avant tout, c'est votre personnalité et votre tempérament commercial qui feront la différence ! Idéalement, vous justifiez d'une formation commerciale, Bac+2 minimum, et avez de bons réflexes commerciaux. Capacité d'adaptation, aisance relationnelle, conviction et goût du travail en équipe sont les qualités nécessaires pour réussir ce poste clé de l'entreprise. Une excellente expression écrite et orale est un atout indispensable pour réussir votre mission.","Vous commercialisez l'offre assurance de nos compagnies partenaires et les services associés en proposant une solution complète que vous construirez en allant à la découverte, puis en approfondissant les besoins de nos prospects. Ceci afin de leur apporter la meilleure couverture possible contre les risques auxquels ils sont exposés dans leur vie de tous les jours. Afin d'accroitre votre réussite, vous serez accompagné dès les premiers jours de votre intégration et suivrez un parcours de formation complète alternant théorie et pratique. La qualité de service est notre priorité. On vous propose un contrat CDI + avantages sociaux CNSS AMO Mutuelle...+ Un cadre de travail agréable et bien d'autres avantages ! Poste à pourvoir immédiatement",CPA MAROC est un Cabinet de Courtage Français spécialisé dans le conseil et la ventes de produits d’assurances de particuliers pour le marché françaisbasé à Rabaat & Casablanca., CDI , Banque / Assurance , Débutant (de 1 à 3 ans) , BAC+2 , Français 
410, Courtier Français en assurance Recrute en CDI : Commerciaux en Assurance Santé et Auto : Rem jusqu'a 30 000 dhs,Centres d'appels, Rabat / Salé / Kenitra / Temara / Casablanca / Mohammedia ,1 mois avant,Société: LES MANDARINS MAROC , CDI ,"Vous commercialisez l'offre assurance de nos compagnies partenaires et les services associés en proposant une solution complète que vous construirez en allant à la découverte, puis en approfondissant les besoins de nos prospects. Ceci afin de leur apporter la meilleure couverture possible contre les risques auxquels ils sont exposés dans leur vie de tous les jours. Poste à pourvoir immédiatement.","Idéalement, vous justifiez d'une formation commerciale, Bac+2 minimum, et avez de bons réflexes commerciaux. Capacité d'adaptation, aisance relationnelle, conviction et goût du travail en équipe sont les qualités nécessaires pour réussir ces postes clés de l'entreprise. Une excellente expression écrite et orale est un atout indispensable pour réussir votre mission","Les Mandarins Maroc, Courtier Français spécialisé dans le conseil et la vente de produits d’Assurances de particuliers pour le marché français, Recrute plusieurs profils experts suite à l'ouverture de notre Site à Ain Atiq (région de Témara): Conseillers Commerciaux experts en assurance SANTE + AUTO + DECENNALE. Expérience exigée d'un an minimum dans un poste similaire.", CDI , Banque / Assurance , Débutant (de 1 à 3 ans) , BAC+2 , Français 
411, Recherche profil expérimenté B2B,non spécifié, Rabat ,1 mois avant,Société: LE CALL , CDI ,Une premiere experience exigée dans le B2B ,Emission d'appels visant les professionnels pour la prise de rendez vous pour le compte de notre client.,"Operation facile, prise de rendez vous avec les professionnels", CDI ,non spécifié,non spécifié,non spécifié, Français 
412, Formateur Expert en Norme ISO 18295,Autres, Casablanca ,1 mois avant,Société: univers RH groupe OMF , Free Lance ,"Le Groupe OMF, recherche un formateur expérimenté spécialisé dans la norme ISO 18295 pour rejoindre notre équipe d'experts. Exigences : • Expertise avérée dans la norme ISO 18295 et ses applications pratiques. • Expérience significative en tant que formateur dans le domaine des services.",• Concevoir et animer des formations de haut niveau sur la norme ISO 18295. • Adapter les programmes de formation selon les besoins spécifiques des clients. • Assurer le suivi et l'évaluation des participants pour garantir l'efficacité des formations dispensées. ,Le Groupe OMF est une entreprise innovante au service des entrepreneurs nationaux et étrangers., Free Lance , Autres fonctions , Débutant (de 1 à 3 ans) , BAC+4 , Français 
413, CASABLANCA - RÉCEPTION D'APPEL PARFAITEMENT FRANCOPHONE- SERVICE CLIENT,Centres d'appels, Casablanca ,1 mois avant,Société: JOB DEVELOPPEMENT , CDI ,"Profil recherché pour le poste : Français excellent, BAC toutes branches et plus, Mâtures et sérieux, Bonne maîtrise d'outils informatiques, Motivé par un plan de carrière vous, évoluerez dans une entreprise qui offre de véritables opportunités. Nous offrons les avantages suivants : * Salaire net + primes de production, * CNSS + Mutuelle privée, * transport assuré, * Formation initiale rémunérée à 100%, * Challenges internes avec des lots à gagner, Horaires entre 8H/20H, 2 jours off par semaine. Envoyez votre CV à: recrutement@jobdeveloppement.net Tél.06 68 74 22 84.","Nous recrutons des chargés de clientèle francophone en réception d’appels pour différentes activités, afin de conseiller, assister et apporter des solutions aux clients.",Recrutement Centre d'appel et autres, CDI , Métiers des centres d'appels , Débutant (de 1 à 3 ans) , BAC+2 , Français 
414, MARRAKECH - SERVICE CLIENT BILINGUE FRANCO-ANGLOPHONE POUR CENTRALE DE RESERVATION INTERNATIONALE,Centres d'appels, Marrakech ,1 mois avant,Société: JOB DEVELOPPEMENT , CDI ,"Bac +2/4 préférence commercial, marketing ou technique. Maîtrise parfaite des deux langues : anglais + français. Connaissance de l'outil informatique obligatoire. Offrons: Salaire fixe + prime de langue + prime production. Heures supplémentaires rémunérées. Couverture sociale intégrale CNSS, mutuelle privée. Transport assuré. Plan de carrière, évolution tous les 6 mois par formation continue en interne afin d'atteindre des postes d'encadrement. Nos recruteurs sont à votre écoute et vous fournirons gratuitement toutes les informations que vous jugerez utiles concernant votre demande d'emploi Envoyez-nous votre CV : recrutement@jobdeveloppement.net Tél. 0661476387","Dans le cadre de son développement et la diversification de ses offres, un de nos clients sur Marrakech, recrute pour le compte d’un de ses partenaires des agents de réservations bilingues : anglophones/ francophones en réception d’appels, ( les deux langues sont obligatoires). Travail stable et cadre agréable. Candidats sans expérience acceptés. Formation de haut niveau assurée.",Recrutement Centre d'appel et autres, CDI , Métiers des centres d'appels , Débutant (de 1 à 3 ans) , BAC+2 , Français / Anglais 
415, CASABLANCA / RÉCEPTION D'APPELS FRANCOPHONES AU CENTRE VILLE,Centres d'appels, Casablanca ,1 mois avant,Société: JOB DEVELOPPEMENT , CDI ,Profil recherché : Excellente maîtrise du français à l'oral et à l'écrit. Bonne capacité d'écoute et bonne reformulation. Assidu et ponctuel. Merci de nous envoyer votre CV à : recrutement@jobdeveloppement.net TEL 06 68 74 22 84. ,"Nous recrutons des charges de clientèle en réception d'appels, pour un fournisseur de gaz et d’électricité français. Votre mission : Consiste à donner aux clients les informations relatives à leurs demandes. Avantages du poste : Horaires rotatifs. Salaire 4500 dhs + prime de rendement Contrat CDI + AVANTAGES SOCIAUX (CNSS+mutuelle privée) Formation rémunérée a 100 % du salaire.",Recrutement Centre d'appel et autres, CDI , Métiers des centres d'appels , Débutant (de 1 à 3 ans) , BAC+2 , Français 
416, MARRAKECH - TELECONSEILLERS BILINGUES FRANCO-ANGLOPHONES EN RECEPTION D'APPELS 5500DHS + PRIMES,Centres d'appels, Marrakech ,1 mois avant,Société: JOB DEVELOPPEMENT , CDI ,"Dans le cadre de son développement et la diversification de ses offres, un de nos clients sur Marrakech, recrute pour le compte d’un de ses partenaires des agents de réservations bilingues : anglophones/ francophones en réception d’appels, ( les deux langues sont obligatoires). Travail stable et cadre agréable. Candidats sans expérience acceptés. Formation de haut niveau assurée.","Bac +2/4 préférence commercial, marketing ou technique. Maîtrise parfaite des deux langues : anglais + français. Connaissance de l'outil informatique obligatoire. Offrons: Salaire fixe + prime de langue + prime production. Heures supplémentaires rémunérées. Couverture sociale intégrale CNSS, mutuelle privée. Transport assuré. Plan de carrière, évolution tous les 6 mois par formation continue en interne afin d'atteindre des postes d'encadrement. Nos recruteurs sont à votre écoute et vous fournirons gratuitement toutes les informations que vous jugerez utiles concernant votre demande d'emploi Envoyez-nous votre CV : recrutement@jobdeveloppement.net Tél. 0661476387 ",Recrutement Centre d'appel et autres, CDI , Métiers des centres d'appels , Débutant (de 1 à 3 ans) , BAC+2 , Français / Anglais 
417, CASABLANCA - RÉCEPTION D'APPELS + REBOND COMMERCIAL ET PRIMES ILLIMITEES,Centres d'appels, Casablanca ,1 mois avant,Société: JOB DEVELOPPEMENT , CDI ,"Après une formation de qualité et rémunérée par le Centre, Votre mission consiste à renseigner les clients sur les nouvelles offres proposées et à les accompagner sur les demandes à caractères techniques en l'occurrence les paramétrages multimédias. Le traitement est segmenté en deux opérations: EN RECEPTION D'appels et en MAILING Pour ce poste, nous exigeons une aisance en communication orale avec une bonne qualité rédactionnelle.","PROFILS RECHERCHES * BAC et plus toutes branches * Maîtrise parfaite de la langue française à l'oral comme à l'écrit, * Maîtrise des outils informatiques, * Fibre commerciale Nous vous offrons - Horaires de travail : entre 8H et 20H. deuxième jour au cours de la semaine. - Salaire net + Primes mensuelles déplafonnées. - Formation gratuite, rémunérée et assurée par des formateurs de haut niveau. - Couverture sociale intégrale CNSS, mutuelle privée - Plan de carrière, évolution en interne rapide. - Transport assuré. Si vous avez un vrai sens du service et si vous êtes animés par le goût du travail en équipe, contactez-nous et offrez-vous une vie professionnelle épanouissante. Nous vous rappelons que nos prestations sont GRATUITES et AUCUNE formation ne vous sera proposée. Nos recruteurs sont à votre écoute et vous fournirons gratuitement toutes les informations que vous jugerez utiles concernant votre demande d'emploi Envoyez votre CV à : recrutement@jobdeveloppement.net Tél. 06 68 74 22 84.",Recrutement Centre d'appel et autres, CDI , Métiers des centres d'appels , Débutant (de 1 à 3 ans) , BAC+2 , Français 
