98,Superviseur Chef De Projet, Confidentiel ,19/05/2023," kenitra, Maroc ", Maroc ,non spécifié, kenitra , CDI ,Experience :, Bac + 5 , Anglais , Negociable ,non spécifié," Consolide tous les PPP détaillés en un PPP détaillé avec le calendrier prévu de chaque activité de préparation de la production pour tous les essais clients construits et pour la production de masse. Maintenir une communication claire avec les membres de l'équipe sur le calendrier et les livrables du projet. Met en place des actions correctives pour tout écart dans le calendrier, la qualité ou le coût du projet. Interfaces avec BU pour tous les éléments liés au projet. Évaluation des risques du projet et suivi des leçons apprises. Communiquer les exigences ou les attentes du client à l'équipe & s'assurer de son respect. Coordonne les activités de la salle Obeya. Crée et tient à jour la documentation complète du projet, les plans et les rapports requis pour les examens fonctionnels. Dirige la mise en œuvre de la norme de projet inspirée du GPMS Installe, développe et soutient l'esprit d'équipe. Contribue activement à l'attente du SOP conformément aux objectifs QCD Assure le respect des attentes du SMQ (IATF 16949), l'application des procédures YEL/YMOK, l'application de toutes les normes de travail et règles liées à l'EHS & 5S. S'assure du respect du cahier des charges client (RSE) "
99,It Talent Acquisition, Confidentiel ,19/05/2023," Grand Casablanca, Maroc ", Maroc ,non spécifié, Grand Casablanca , CDI ,Experience :, Bac + 4 , Français , Negociable ,non spécifié," En tant que IT Talent Acquisition, vous serez responsable d'identifier, attirer et recruter des talents dans le domaine de l'informatique pour répondre aux besoins de l'entreprise. Vous travaillerez en étroite collaboration avec les responsables des entités pour comprendre les exigences spécifiques des postes à pourvoir et développer des stratégies de recrutement efficaces. "
100,Chef De Projet, Confidentiel ,19/05/2023," kenitra, Maroc ", Maroc ,non spécifié, kenitra , CDI ,Experience :, Bac + 5 , Anglais , Negociable ,non spécifié," Consolide tous les PPP détaillés en un PPP détaillé avec le calendrier prévu de chaque activité de préparation de la production pour toutes les constructions d'essai client et pour la production de masse. Maintenir une communication claire avec les membres de l'équipe sur le calendrier et les livrables du projet. Met en place des actions correctives pour tout écart dans le calendrier, la qualité ou le coût du projet. Complète le rapport d'évaluation de l'état de préparation au lancement sur une base mensuelle. Coordonner les projets conformément à la norme GPMS. Compile le statut 4M sur une base hebdomadaire avec des actions correctives. Organise des réunions de projet hebdomadaires avec l'équipe interfonctionnelle. Interfaces avec BU pour tous les éléments liés au projet. Évaluation des risques du projet et suivi des leçons apprises. Communiquer les exigences ou les attentes du client à l'équipe & s'assurer de son respect. Coordonne les activités de la salle Obeya "
101,AttachÃ© Commercial, Confidentiel ,17/05/2023," Grand Casablanca, Maroc ", Maroc ,non spécifié, Grand Casablanca , CDI ,Experience :, Bac + 2 , Français , Negociable ,non spécifié," Rattaché(e) au Responsable d’agence, vous développez et fidélisez une clientèle essentiellement professionnelle en proposant les prestations de notre client. "
102,Responsable Dâagence H/f BasÃ© Ã Tanger, Confidentiel ,17/05/2023," Tanger-Tétouan, Maroc ", Maroc ,non spécifié, Tanger-Tétouan , CDI ,Experience :, Bac + 4 , Français , Negociable ,non spécifié," Rattaché(e) au Directeur de Division, vous gérez un centre de profit avec l’ensemble des moyens humains et matériels mis à votre disposition et vous animez l’activité commerciale de celui-ci conformément aux objectifs définis avec la direction. "
103,Hse Supervisor In High Voltage Transmission, Confidentiel ,16/05/2023," Grand Casablanca, Maroc ", Maroc ,non spécifié, Grand Casablanca , CDI ,Experience :, Bac + 5 , Anglais , Negociable ,non spécifié," Implementation of the health, safety, environment policy, Organize staff awareness and training actions on safety, the environment, Participate in the animation of the health, safety and working conditions committee, In the event of an accident, lead meetings, define the cause tree and write the accident report, Take the necessary measures to ensure the safety and protect the health of the members of his team, Establishment of various documents (creating and updating safety files, developing the declaration file, the single document, establishing written procedures, managing the documentary system, etc.). Follow the various measures, the control of rejections, the elimination of residues. "
104,Responsable DÃ©veloppement Rh , Confidentiel ,11/05/2023," Grand Casablanca, Maroc ", Maroc ,non spécifié, Grand Casablanca , CDI ,Experience :, Bac + 5 , Français , Negociable ,non spécifié," Elaborer la stratégie RH de l’entreprise. Mener les projets RH de l’entreprise conformément à la stratégie RH. Veiller à la mise en place des outils de suivi RH Effectuer le reporting RH régulier de toutes les activités. Prendre en charge la préparation des documents réglementaires lies à la gestion du personnel: contrats de travail, avenants, soldes de tout compte, assurer les affiliations aux diverses caisses. Tenir à jour les dossiers administratifs des salaires. Tenir les registres légaux: registre des congés, inspection de travail... "
105,Chef De Projet Industrialisation / MÃ©thode, Confidentiel ,10/05/2023," kenitra, Maroc ", Maroc ,non spécifié, kenitra , CDI ,Experience :, Bac + 5 , Français , Negociable ,non spécifié," Effectuer et contrôler le document d'échange relatif aux livrables du projet ; Maintenir une communication claire avec les membres de l'équipe sur le calendrier et les livrables du projet. Met en place des actions correctives pour tout écart dans le calendrier, la qualité ou le coût du projet. Complète le rapport d'évaluation de l'état de préparation au lancement sur une base mensuelle. Suivre la procédure GPMS. Installe, développe et soutient l'esprit d'équipe. Contribue activement à l'attente SOP en ligne avec les objectifs QCD ; Veiller au respect des exigences et des normes de qualité "
106,Chef De Service Logistique, Confidentiel ,10/05/2023," Grand Casablanca, Maroc ", Maroc ,non spécifié, Grand Casablanca , CDI ,Experience :, Bac + 5 , Français , Negociable ,non spécifié," Planifier et coordonner les opérations de transport et de distribution de l'entreprise Établir et maintenir des relations de travail efficaces avec les transporteurs Gérer les opérations logistiques quotidiennes, y compris l'approvisionnement, la planification et la coordination des livraisons. Élaborer des stratégies pour améliorer l'efficacité et la rentabilité de la chaîne d'approvisionnement. Coordonner avec les autres départements pour assurer la disponibilité des stocks Assurer la conformité réglementaire et la sécurité des employés dans toutes les opérations logistiques. Coordonner et animer quotidiennement l'activité des équipes opérationnelles dont vous évaluerez les performances collectives et individuelles. Assurer la mise en place des tableaux de bord relatifs à l’activité, le suivi des indicateurs de performance et les actions d'optimisation y afférant afin de garantir la maîtrise du niveau des coûts et la qualité de services escomptés. Vous êtes garant de l'application de la réglementation en la matière (hygiène, sécurité, Traçabilité, …etc.), du respect des procédures et du bon fonctionnement de la ou les plates-formes). Suivi hebdomadaire des stocks (rotation, les inventaires, …), des flux in/out et des indicateurs financiers relatifs à l’activité. "
107,Chef Du Service Production, Confidentiel ,27/04/2023," SAFI , Maroc ", Maroc ,non spécifié, SAFI , CDI ,Experience :, Bac + 5 , Français , Negociable ,non spécifié," Planifier la production avec les chefs de section et chefs de postes Superviser les services connexes à la production : concassage, sacherie et expédition Réagir aux commandes imprévues et aux aléas techniques Coordonner les exigences de production et les nécessités de maintenance Assurer les communications avec les autres services supports Suivre les productions journalières par rapport aux prévisions et les réajuster "
108,IngÃ©nieur /technicien De Chiffrage En ÃlectricitÃ©, Confidentiel ,21/04/2023," Grand Casablanca, Maroc ", Maroc ,non spécifié, Grand Casablanca , CDI ,Experience :, Bac + 5 , Français , Negociable ,non spécifié, Analyser les appels d'offres et les demandes de devis pour comprendre les besoins des clients Estimer les coûts des projets d'installation et de maintenance électrique en utilisant des logiciels spécialisés Préparer les offres de prix et les soumissions techniques Collaborer étroitement avec les chargés de projet pour assurer l'exactitude des estimations et des plans d'exécution Assurer un suivi régulier avec les clients pour répondre à leurs questions et clarifier leurs besoins Participer à l'amélioration continue des processus de chiffrage et de gestion de projet 
109,Responsable Commercial ( El Jadida ) , Confidentiel ,21/04/2023," El Jadida, Maroc ", Maroc ,non spécifié, El Jadida , CDI ,Experience :, Bac + 5 , Français , Negociable ,non spécifié," Fixer les objectifs et axes prioritaires Développer les marges et le chiffre d'affaires de la société. S'occuper du portefeuille clients et rendre compte des résultats Suivre et vérifier, avec les collaborateurs, les activités de conception et de mise en œuvre nécessaires au développement sur le marché des services proposés par l'entreprise. Promouvoir l'image et la notoriété de l'entreprise Elaborer et proposer à la direction générale la politique commerciale de l'entreprise Etablir une politique de fidélisation des clients Conseiller à la direction générale le plan commercial de l'entreprise Participer à la définition de la politique commerciale de l'entreprise Fixer les objectifs et les points de challenge Suivre les résultats et réajuster la stratégie commerciale de l'entreprise Diriger et accompagner l'équipe commerciale Faire du benchmark et surveiller la concurrence afin d'adapter en permanence les offres de l'entreprise. Reporter à la direction "
110,Responsable De Business Unit ( FÃ¨s ) , Confidentiel ,21/04/2023," Fès-Boulemane, Maroc ", Maroc ,non spécifié, Fès-Boulemane , CDI ,Experience :, Bac + 5 , Français , Negociable ,non spécifié," Développer une stratégie commerciale pour la Business Unit afin de maximiser la croissance des revenus et des bénéfices Superviser les opérations quotidiennes de la Business Unit, y compris la gestion des ventes, le marketing, les finances, les ressources humaines et la logistique Élaborer et gérer un budget pour la Business Unit, en veillant à ce que les dépenses soient alignées sur les objectifs de la stratégie commerciale Travailler en étroite collaboration avec les équipes de vente et de marketing pour s'assurer que les objectifs de vente et de marketing sont atteints Identifier les opportunités de croissance du marché et développer de nouveaux produits et services pour répondre aux besoins des clients Assurer la qualité et la cohérence des services offerts par la Business Unit Fournir des rapports réguliers au Directeur Général sur les performances de la Business Unit et les progrès réalisés par rapport aux objectifs commerciaux Diriger et motiver une équipe de professionnels pour atteindre les objectifs de la Business Unit "
111,Comptable Client , Confidentiel ,17/04/2023," Grand Casablanca, Maroc ", Maroc ,non spécifié, Grand Casablanca , CDI ,Experience :, Bac + 3 , Français , Negociable ,non spécifié, Tenue de la comptabilité clients; Veille sur la facturation et la cohérence avec le bilan matières; Coordination avec le service caisse pour production des créances clients; Coordination avec le service trésorerie pour production de la facturation; Coordination avec le service stock pour la production de la facturation; Suivi de la facturation comptoir et du calcul des droits de timbre et leur imputation dans la comptabilité; 
112,Chef Comptable , Confidentiel ,17/04/2023," Grand Casablanca, Maroc ", Maroc ,non spécifié, Grand Casablanca , CDI ,Experience :, Bac + 3 , Français , Negociable ,non spécifié," Tenue comptabilité générale; Analyse de la cohérence, fiabilité, exactitude et exhaustivité de l’information comptable; Veille à l’inscription de l’information comptable dans les comptes indiqués par les lois en vigueur; Etablissement d’un manuel de procédures comptables prenant en compte les spécificités fonctionnelles de la société; Veille et coordination avec les autres services de comptabilité pour le respect du manuel de procédures comptables et la circulation fiable, fluide et exhaustive de l’information comptable; Production et analyse des arrêtés et des états de synthèse; "
113,ChargÃ© DÃ©veloppement - Rh , Confidentiel ,17/04/2023," Grand Casablanca, Maroc ", Maroc ,non spécifié, Grand Casablanca , CDI ,Experience :, Bac + 5 , Français , Negociable ,non spécifié, Actualisation de l’organigramme en coordination avec le comité de pilotage; Etablissement et actualisation des fiches de postes en coordination avec les parties prenantes; 
,postes,entreprises,date de publication,localités,pays concernés,categoriess,regions,contrats,experiences,diplomes,langues,salaires,fonction,Missions
114,Directeur D'usine, Confidentiel ,12/04/2023," Grand Casablanca, Maroc ", Maroc ,non spécifié, Grand Casablanca , CDI ,Experience :, Bac + 5 , Français , Negociable ,non spécifié, Votre principale mission est la gestion et organisation du site de production 
115,Responsable Prescription, Confidentiel ,11/04/2023," Grand Casablanca, Maroc ", Maroc ,non spécifié, Grand Casablanca , CDI ,Experience :, Bac + 5 , Français , Negociable ,non spécifié, Planifier et développer l'ensemble des activités relatives à la prescription et au marketing Promouvoir auprès des prescripteurs les produits et marques proposés par l'entreprise Gestion administrative de l’agence commerciale Casablanca 
116,ContrÃ´leur De Gestion , Confidentiel ,06/04/2023," Grand Casablanca, Maroc ", Maroc ,non spécifié, Grand Casablanca , CDI ,Experience :, Bac + 5 , Français , Negociable ,non spécifié," Suivi et analyse des ordres de production des deux unités de production ; Suivi et analyse des indices de consommation journalière, et leur rapprochement avec les ordres de production ; Analyse des écarts sur les ordres de production et inventaires ; Suivi des rendements et de la performance de la production (indicateurs, tableaux de bord,...etc.) ; Participation à la clôture mensuelle ; Participation aux travaux d’inventaires physiques de chaque fin du mois, Participation à l’analyse et au calcul du coût de revient par produit; Participation à la préparation du budget de consommation des matières ; Établissement des fascicules relatifs au conseil et au comité et leur transmission au Holding ; Participation aux travaux des conseils d'administration "
117,Chef De Projet Organisation Et Processus, Confidentiel ,04/04/2023," Grand Casablanca, Maroc ", Maroc ,non spécifié, Grand Casablanca , CDI ,Experience :, Bac + 5 , Français , Negociable ,non spécifié," Assistance à maîtrise d’ouvrage (AMOA) et gestion de projet (PMO) : Mise en œuvre des procédures et de la démarche qualité : Elaboration des modèles organisationnels cibles pour de nouvelles activités Accompagnement à l'implémentation des modèles organisationnels Mise en place des modèles de gouvernance Sur l'aspect Processus : Pilotage de la cartographie des processus internes et métiers Analyse des processus internes existants et proposition de piste d'amélioration et d'optimisation Accompagnement à la formalisation et l'implémentation des processus internes Accompagnement des projets dans la définition, convergence et la validation des processus métiers Analyse des processus métiers et proposition des améliorations permettant d'offrir une meilleure expérience client Audit et contrôle de l’application des procédures, des règles de gestion et des normes : "
118,Hr Business Partner , Confidentiel ,31/03/2023," Grand Casablanca, Maroc ", Maroc ,non spécifié, Grand Casablanca , CDI ,Experience :, Bac + 5 , Français , Negociable ,non spécifié," Piloter et garantir la mise en œuvre des politiques RH et des outils dans l’organisation Apporter un support quotidien dans la gestion individuelle et collective des ressources (gestion des conflits, onboarding, mobiliteÌ, droit social…) Accompagner l’entreprise dans ses politiques de changement Piloter les recrutements, de l’expression du besoin jusqu’à l’intégration du collaborateur Préparer et suivre le déroulement des évaluations annuelles en collaboration avec les managers Déclencher les formations nécessaires à l’accompagnement de la croissance du business, avec la collaboration du training manager Animer les revues de performance les revues de talents et les plans de succession Gérer et suivre les sorties des collaborateurs et les fins de contrats Déployer localement les processus RH Group, en tenant compte des spécificités de la législation marocaine du droit du travail "
119,Directeur Magasin, Confidentiel ,31/03/2023," Grand Casablanca, Maroc ", Maroc ,non spécifié, Grand Casablanca , CDI ,Experience :, Bac + 5 , Français , Negociable ,non spécifié," Contrôler et valider la mise en œuvre de la stratégie commerciale de l'enseigne Assurer le reporting auprès de la direction : analyser et rendre compte de l'activité commerciale Évaluer les résultats en fonction des objectifs commerciaux ; Réaliser les objectifs qualitatifs et quantitatifs Développer le portefeuille client et le panier moyen Proposer et appliquer des plans d'action pour optimiser le chiffre d'affaires et la marge Veiller au respect de la charte marketing, des consignes et des délais lors des opérations compagnes, soldes, promotions, PLV… Veiller à la réussite du lancement des différentes compagnes commerciales pour développer la fréquentation, et s’assurer de la disponibilité de l’ensemble des articles des opérations marketing Assurer la satisfaction client et une expérience client positive. "
120,Responsable Adv, Confidentiel ,31/03/2023," Grand Casablanca, Maroc ", Maroc ,non spécifié, Grand Casablanca , CDI ,Experience :, Bac + 4 , Français , Negociable ,non spécifié," Superviser toutes les opérations liées à la gestion et à l’administration des contrats de vente. Saisir les informations relatives aux clients. Traiter les commandes des clients et veiller au respect (des tarifs, des délais, la qualité de service) Établir les devis. Enregistrer et valider les commandes. Informer les clients sur la disponibilité des produits et les délais de livraison. Suivi de la facturation et superviser la gestion du portefeuille des comptes clients. Gérer les relations avec les clients et les autres partenaires Traiter les litiges, réclamations et contentieux Établir les tableaux de bord liés à l'activité commerciale : balance âgée ; impayée Suivi le plafond et les encours autorises. Analyser les résultats de vente par zone géographique, par marché et par client Établir les prévisions commerciales Suivi des remontes du chiffre d’affaires par rapport au budget prévisionnel (contrôle des marges, volume d’affaires .contrôle des coûts) Vérifier et centraliser les informations transmises par les commerciaux. Gérer l’équipe commerciale sur place et à distance Assurer le bon fonctionnement de l’équipe du service ADV "
121,Consultant SÃ©niors En Sap Grc , Confidentiel ,22/03/2023," Grand Casablanca, Maroc ", Maroc ,non spécifié, Grand Casablanca , CDI ,Experience :, Bac + 5 , Anglais , Negociable ,non spécifié," Vous êtes passionné par les ERP, notamment le SAP, Notre client vous offre l’opportunité d’épanouir votre carrière et de booster dans des missions chalengeuses. Nous cherchons des spécialistes séniors en SAP GRC : Vous serez chargé de garantir la sécurité et la conformité des systèmes et applications SAP. "
122,Consultant SÃ©niors Sap Basis, Confidentiel ,22/03/2023," Grand Casablanca, Maroc ", Maroc ,non spécifié, Grand Casablanca , CDI ,Experience :, Bac + 5 , Français , Negociable ,non spécifié," Accompagner le client dans la définition des séquencements de déploiement et de mise à jour. Développer l'infrastructure cible sous contrôle du responsable projet. Participer à l’évaluation et à la conception des interfaces entre SAP et des systèmes externes. Représenter la partie infrastructure sur les projets SAP 4HANA. Valider/planifier les recommandations de mises à jour préconisées par l'infogérant. Garantir le lien avec SAP sur l'audit des licences. Gérer les migrations des bases de données, la configuration des applications et les modèles SAP. Suivre la documentation de l'architecture technique. Garantir le support et l´assistance aux autres services sur l'environnement ERP. Être responsable des aspects techniques et la sécurité dans l'ERP. Développer et assurer un leadership lors des phases de test, de déploiement et de mise à jour. "
123,Senior Buyer /acheteur Senior, Confidentiel ,22/03/2023," Tanger-Tétouan, Maroc ", Maroc ,non spécifié, Tanger-Tétouan , CDI ,Experience :, Bac + 5 , Anglais , Negociable ,non spécifié," Responsible for sourcing and procurement of goods. Purchases raw materials, equipment. tools, parts and supplies for a group of products/functions. Develops supply sources by interviewing potential suppliers, visiting current vendors to improve relations and assessing supply facilities and negotiating price. Ensures that the minimum level of inventory for the allocated commodities are maintained without jeopardizing the continuity of scheduled production within the customer release schedules. Participates as a strategic liaison with the relevant suppliers to ensure raw material requirements are satisfied. "
124,Responsable ContrÃ´le Permanent, Confidentiel ,17/03/2023," Grand Casablanca, Maroc ", Maroc ,non spécifié, Grand Casablanca , CDI ,Experience :, Bac + 5 , Français , Negociable ,non spécifié," Le responsable contrôle permanent a pour mission de Développer le dispositif de contrôle interne, le promouvoir et piloter sa mise en œuvre dans l’ensemble du réseau de notre client et de ses BUs, notamment à travers le contrôle du respect des procédures, la vérification de l’exactitude et de la fiabilité des informations, ainsi que la sauvegarde du patrimoine de l’entreprise. Il a la responsabilité d'organiser, gérer les responsables régionaux CP et leurs équipes à travers les principales attributions. "
125,Comptable ConfirmÃ© H/f, Confidentiel ,15/03/2023," Grand Casablanca, Maroc ", Maroc ,non spécifié, Grand Casablanca , CDI ,Experience :, Bac + 5 , Français , Negociable ,non spécifié, Tenir et réaliser les opérations de comptabilité générale Analyser les comptes et faire les rapprochements nécessaires entre comptabilité et les autres services. Établir et valider les rapprochements bancaires Assurer la relation avec les partenaires Internes et Externes L’enregistrement quotidien des opérations comptables. Faire le suivi des déclarations fiscales et sociales. Préparer les déclarations fiscales et sociales. Traiter les factures (clients ou fournisseurs). Traiter les opérations et rapprochements bancaires. Gestion de la trésorerie : Équilibrage et consolidation des comptes. L’enregistrement des opérations comptables dans les livres comptables. 
126,Office Manager, Confidentiel ,15/03/2023," Grand Casablanca, Maroc ", Maroc ,non spécifié, Grand Casablanca , CDI ,Experience :, Bac + 4 , Français , Negociable ,non spécifié," Supervision et le suivi du respect des procédures par les collaborateurs, Gestion administrative et le suivi des projets, Gestion de l’agenda, Gestion des services généraux, Organisation des réunions et des différents événements internes, Organisation de manifestation événementielle "
127,Assistant Rh & Administratif ( H/f ) , Confidentiel ,15/03/2023," Grand Casablanca, Maroc ", Maroc ,non spécifié, Grand Casablanca , CDI ,Experience :, Bac + 5 , Français , Negociable ,non spécifié," Gérer et maintenir les dossiers des employés, y compris les informations personnelles, les salaires, les absences et les congés. Préparer les documents de recrutement, y compris les annonces d'emploi, les offres d'emploi et les contrats de travail. Coordonner les avantages sociaux pour les employés, tels que les régimes d'assurance maladie et de retraite, les congés de maternité/paternité, etc. Aider à la coordination et à la planification des formations pour les employés. Répondre aux questions des employés sur les politiques et les procédures RH de l'entreprise. Maintenir les politiques et les procédures RH à jour et veiller à leur application. Effectuer d'autres tâches administratives et RH, telles que la gestion des horaires, l'organisation des événements d'entreprise, etc. "
128,Responsable TrÃ©sorerie ( H/f ) , Confidentiel ,15/03/2023," Grand Casablanca, Maroc ", Maroc ,non spécifié, Grand Casablanca , CDI ,Experience :, Bac + 5 , Français , Negociable ,non spécifié," Vous serez en charge de la gestion de la trésorerie du groupe, à l’élaboration et à la mise en œuvre de la stratégie de gestion de trésorerie. Responsabilités clés : Élaborer la stratégie de gestion de trésorerie de l'entreprise en concertation avec la direction financière et la direction générale. Analyser les flux de trésorerie de l'entreprise et prévoir les besoins futurs en liquidités. Mettre en place des outils de suivi des flux de trésorerie et des indicateurs de performance pour mesurer l'efficacité de la gestion de trésorerie. Gérer les placements financiers de l'entreprise pour maximiser les rendements tout en minimisant les risques. Superviser les opérations de gestion de trésorerie quotidiennes, telles que le suivi des encaissements et des décaissements, la gestion des soldes de trésorerie et la gestion des risques de change. Gérer les relations avec les banques et les autres partenaires financiers de l'entreprise. Élaborer et mettre en place des politiques de crédit pour optimiser la gestion de la dette et minimaliser les coûts de financement. Participer à l'élaboration des budgets et des plans financiers de l'entreprise en fournissant des projections de flux de trésorerie et en proposant des scénarios d'investissement. Assurer la conformité du groupe aux réglementations en matière de gestion de trésorerie et de financement. "
129,Administrateur Des Ventes ( H/f ) , Confidentiel ,15/03/2023," Grand Casablanca, Maroc ", Maroc ,non spécifié, Grand Casablanca , CDI ,Experience :, Bac + 4 , Français , Negociable ,non spécifié, Vous serez responsable de la gestion de l'ensemble du processus de vente. 
130,ChargÃ© SystÃ¨me D'information , Confidentiel ,14/03/2023," Grand Casablanca, Maroc ", Maroc ,non spécifié, Grand Casablanca , CDI ,Experience :, Bac + 5 , Français , Negociable ,non spécifié," Compréhension et maitrise des contours du projet; Maitrise de l’architecture SI et des fonctionnalités; Coordination des interventions, formations et assurer le transfert du savoir-faire de l’intégrateur vers la société; Résolution des bugs et autres blocages techniques; Préparation, vérification et partage des bases de données; Cadrage contractuel avec l’intégrateur; "
131,Chef De La Section MÃ©canique ( Safi ) , Confidentiel ,13/03/2023," SAFI , Maroc ", Maroc ,non spécifié, SAFI , CDI ,Experience :, Bac + 2 , Français , Negociable ,non spécifié," Tournée de contrôle des paramètres de fonctionnement des installations mécaniques ; Supervision et réalisation des interventions journalières sur les équipements mécaniques ; Supervision et réalisation des travaux préventifs suivant le planning de suivi ; Assistance aux travaux de sous-traitance ; Mise à disposition des pièces de rechange, de l’outillage et des moyens de sécurité ; Mise à disposition de la documentation technique aux collaborateurs; Proposition et suivi de nouveaux projets et des installations existantes en vue d’optimiser les coûts de fonctionnement par une veille technologique permanente ; Respect des normes de sécurité. "
132,Chef De Service Qhse, Confidentiel ,13/03/2023," SAFI , Maroc ", Maroc ,non spécifié, SAFI , CDI ,Experience :, Bac + 5 , Français , Negociable ,non spécifié," Garantir l’application et le respect de la politique qualité & sécurité de l'entreprise. S’assurer de la qualité des produits, tout au long du processus de production jusqu’à la livraison Piloter le système de management de la qualité SMQ « suivi, reporting… » Assurer la bonne application et implication au processus LOTOTO "
133,ChargÃ© Rh Et Juridique, Confidentiel ,03/03/2023," Grand Casablanca, Maroc ", Maroc ,non spécifié, Grand Casablanca , CDI ,Experience :, Bac + 2 , Français , Negociable ,non spécifié," Etablissement des pointages, calcul des salaires et établissements des fiches de paie et de la paie; Gestion des sanctions légales; Suivi des absences, congés, autorisations, accidents de travail, décharges, demande de crédit…etc.; Coordination avec les autorités compétentes pour tout cas touchant le personnel; Actualisation de la base juridique de la société avec toute modification du code de travail, ou des dispositions CNSS, ou dispositions fiscales touchant le personnel; Gestion des dossiers maladie et suivi des remboursements; Suivi et pilotage des litiges; "
134,Commercial, Confidentiel ,02/03/2023," Grand Casablanca, Maroc ", Maroc ,non spécifié, Grand Casablanca , CDI ,Experience :, Bac + 2 , Français , Negociable ,non spécifié," Remontées d’informations Veille concurrentielle : stratégie, organisation, politique commerciale; Évolution marché : pratiques concurrentielles, prévisions évolution, évolution typologie client, physionomie marché, changement comportemental du marché; "
135,Gestionnaire Des Stocks, Confidentiel ,02/03/2023," Grand Casablanca, Maroc ", Maroc ,non spécifié, Grand Casablanca , CDI ,Experience :, Bac + 2 , Français , Negociable ,non spécifié, Contrôle entrée et sorties stocks : BL/BR; Gestion stocks sur système d’information; Contrôle cohérence stocks; Préparation et communication des états des stocks; Déroulement des inventaires inopinés; Analyse des rotations stocks. 
136,Chef Magasinier, Confidentiel ,02/03/2023," Grand Casablanca, Maroc ", Maroc ,non spécifié, Grand Casablanca , CDI ,Experience :, Bac + 2 , Français , Negociable ,non spécifié," Gestion des équipes de magasiniers, ouvriers et caristes; Disposition des marchandises dans le magasin suivant la cartographie définie; Veille au respect des règles de sécurité stockage + travail; Veille à l’optimisation des tâches de manutention et de rangement marchandises, et du budget gasoil et réparations du matériel de manutention; "
137,Assistante Direction, Confidentiel ,02/03/2023," Grand Casablanca, Maroc ", Maroc ,non spécifié, Grand Casablanca , CDI ,Experience :, Bac + 2 , Français , Negociable ,non spécifié," Préparation et suivi des différents dossiers en liaison avec l’activité de la direction générale; Coordination avec les différentes administrations publiques ou entités privées suivant les besoins de l’activité du DG; Gestion de l’ordre du jour, planning, courrier et l’agenda du supérieur; Organisation et préparation des réunions; Contrôle et fourniture des documents nécessaires à la mission du dirigeant; Organisation des comités de direction; Coordination administrative avec les services de la société; "
138,ChargÃ©e Dâachats, Confidentiel ,02/03/2023," Grand Casablanca, Maroc ", Maroc ,non spécifié, Grand Casablanca , CDI ,Experience :, Bac + 5 , Anglais , Negociable ,non spécifié," Tenue dossiers fournisseurs : historique, encours, catégorisation; Gestion des dossiers d’achats : bons de commande, négociation secondaire (avec l’accord de la direction générale), coordination de l’approvisionnement; Analyse relations fournisseurs : concentration par article, délais, qualité, prix; Gestion des encours fournisseurs et coordination des règlements; Réclamations et gestion relations fournisseurs Offre des outils techniques pour l’analyse et l’optimisation des approvisionnements; Optimisation des stocks : calcul des seuils sur la base des prévisions de demande, historique et délais des approvisionnements; Propositions pour la réduction des coûts des approvisionnements; Maitrise des délais d’approvisionnement. "
139,Responsable IngÃ©nierie Industrielle, Confidentiel ,24/02/2023," kenitra, Maroc ", Maroc ,non spécifié, kenitra , CDI ,Experience :, Bac + 5 , Anglais , Negociable ,non spécifié," Etablir le calendrier de planification pour le déploiement de nouveaux projets d'amélioration sur la ligne-modèle Établir et suivre le plan d'action pour la mise en place de nouveaux projets d'amélioration continue. Surveiller et améliorer les indicateurs de performance de la gamme de modèles. Préparer le rapport d'examen de l'OPS"" Suivre et respecter les règles des 5s. Analyser les données de fabrication : dessin, BOM , BOL , RE Effectuez l'étude de capacité et décidez du meilleur concept de ligne en fonction de différentes entrées : volume, jours ouvrables, Préparer la subdivision de travail en fonction des opérateurs nécessaires et en suivant les règles YEL Conception de sous-ensembles en fonction de la complexité du produit Préparer la liste des équipements nécessaires par ligne Préparer la ligne de production : mise en place de la ligne Préparer les documentations de ligne Piloter et mener des activités Run & Rate Préparer le 1er projet de rapport de routage et assurer la mise à jour Assurer l'équilibrage entre les postes de travail. Prenez le temps sur les lignes identifiées et communiquez la progression de chaque ligne. Proposer et installer des améliorations pour augmenter la production. Etude de l'ergonomie des postes de travail et amélioration du workflow. Course d'EHB par ligne (sur les 5 plus mauvaises familles). Préparer le 1er projet de rapport de routage et assurer la mise à jour. Fournir une formation sur le chronométrage sur site pour ceux qui sont directement liés à l'efficacité la productivité et équilibrage (chef de produit, LL, BLC...) Gérer la définition du concept de processus dans l'usine et assurer la mise en œuvre des meilleures pratiques dans les nouvelles définitions. Fiabilité de la base de données des temps relatifs à chaque processus en coordination avec l'équipe SAP. Assurer la mise en œuvre de la bonne méthode de quantification des ECR. Contribuer activement à l'enrichissement de la PFMEA. Proposer des améliorations et les mettre en œuvre sur PFMEA "
140,Responsable Bureau D'Ã©tudes FaÃ§ade, Confidentiel ,21/02/2023," Grand Casablanca, Maroc ", Maroc ,non spécifié, Grand Casablanca , CDI ,Experience :, Bac + 2 , Français , Negociable ,non spécifié," Rattaché(e) à la direction générale, vous pilotez le bureau d'études, les chargés d'études et les dessinateurs projeteurs pour établir les études d'exécution jusqu'au lancement des travaux. "
