,Poste,Secteurs,nombre de postes,date publication,date de debut,lieux,contrats,description de profil,formations,Expérience professionnelle,langues,competences spécifiques
1447,  Commercial/Technico Commercial,non spécifié,1,06/10/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1448,  Gestionnaire Polyvalent ( Gestion Du Stock Et Du Transport ),non spécifié,1,06/10/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1449,  Comptable Et Aide Comptable,non spécifié,10,06/10/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1450,  Opérateurs De Machine,non spécifié,5,06/10/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1451,  Conseiller Client,non spécifié,7,06/10/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1452,  Mécanicien,non spécifié,2,06/10/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1453,  Assistante Dans Le Service Des Achats,non spécifié,1,06/10/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1454,  Gestionnaire D'assurances,non spécifié,1,06/10/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1455,  ,non spécifié,60,06/10/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1456,  TECHNICIEN DE LABO,non spécifié,1,05/10/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1457,  Technicien Réseaux,non spécifié,2,05/10/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1458,  Souscripteur En Assurances,non spécifié,2,05/10/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1459,   Opérateur De Laboratoire (chimie-énergie),non spécifié,2,05/10/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1460,  PLANIFICATEUR LOGISTIQUE,non spécifié,1,05/10/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1461,  MECANICIEN POIDS LOURDS,non spécifié,1,05/10/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1462,  Assistante Maternelle Anglophone A Domicile,non spécifié,1,05/10/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1463,  Tourneur/Fraiseur/Soudeur,non spécifié,1,05/10/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1464,  Une Ste A Marrakech Menara Cherche Des Ouvriers,non spécifié,2,04/10/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1465,  ANIMATEUR/ ANIMATRICE,non spécifié,1,04/10/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1466,  Opérateur Sur Machines Automatiques En Production électrique Ou électronique.,non spécifié,600,04/10/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1467,  Attaché Commercial Auprès Des Entreprises,non spécifié,1,04/10/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1468,  Opérateur De Saisie,non spécifié,8,04/10/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1469,  DIRECTEUR PEDAGOGIQUE,non spécifié,1,04/10/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1470,  Technicien Projeteur,non spécifié,4,04/10/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1471,  Directeur (trice) Pédagogique.,non spécifié,1,04/10/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1472,   Délégué Médical,non spécifié,4,04/10/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1473,  Dessinateur De Batiment,non spécifié,1,04/10/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1474,  Gestionnaire De Recouvrement Interne/externe,non spécifié,1,04/10/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1475,  Employé De Libre Service,non spécifié,25,04/10/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1476,  On Cherche Des Operateurs De Cablage,non spécifié,8,04/10/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1477,  1 Secrétaires De Direction 2 Assistantes Dentaire,non spécifié,3,04/10/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1478,  Gouvernante,non spécifié,1,04/10/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1479,  Commercial,non spécifié,1,04/10/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1480,  Responsable Commercial,non spécifié,1,04/10/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1481,   Commercial/Commerciale,non spécifié,100,04/10/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1482,  FORMATEUR EN SERTISSAGE DE DIAMANTS A CIRE PERDUE SOUS MICROSCOPE BINOCULAIRE,non spécifié,1,03/10/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1483,  COMPTABLE,non spécifié,1,03/10/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1484,  Chargé De Clientèle / Commercial,non spécifié,2,03/10/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1485,  Assistante Gouvernante Générale,non spécifié,1,03/10/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1486,  Réceptionniste,non spécifié,1,03/10/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1487,  Personnel Magasin,non spécifié,50,03/10/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1488,  Aide Pharmacien,non spécifié,2,03/10/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1489,  EMPLOYE DE PHARMACIE (HOMME),non spécifié,1,02/10/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1490,  Opérateur De Production Industrie Alimentaire.,non spécifié,28,02/10/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1491,  Téléconseiller émission Et Réception D'appels,non spécifié,50,02/10/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1492,   Entraîneur Sportif,non spécifié,4,02/10/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1493,  Aide Comptable,non spécifié,1,27/09/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1494,  TAILLEUR,non spécifié,5,27/09/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1495,  Technicien Spécialisé : Electromécanicien,non spécifié,2,27/09/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1496,  VENDEUSES BOULANGERIE PATISSERIE,non spécifié,4,27/09/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1497,  ARCHIVISTE DOCUMENTAIRE,non spécifié,1,27/09/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1498,  Conseiller(e) Commercial,non spécifié,2,27/09/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1499,  ENSEIGNANT DES ECOLES (primaire),non spécifié,25,27/09/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1500,  Opératrice/Opérateur De Montage Dans Le Secteur Automobile,non spécifié,100,27/09/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1501,  Opérateurs Et Opératrices Câblage,non spécifié,1100,27/09/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1502,  Opérateur Gestion Des Dossiers De Soins Médicaux,non spécifié,1,27/09/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1503,   Agent D'encadrement De Maintenance,non spécifié,150,27/09/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1504,  ASSISTANTE COMMERCIALE ET MARKETING DIGITAL,non spécifié,1,26/09/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1505,  Vendeurs / Livreurs,non spécifié,6,26/09/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1506,  Responsable Magasinier,non spécifié,1,26/09/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1507,  Chargé Administratif Et RH,non spécifié,1,26/09/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1508,  DES CAISSIES Et Des Aides Comptables.,non spécifié,5,26/09/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1509,  Chargé De Clientèle,non spécifié,150,26/09/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1510,  Chargé Du Soutien Scolaire Et Psychologique Des élèves De L'enseignement Collégial,non spécifié,5,26/09/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1511,  Superviseur Et Représentant Des Compagnies Aériennnes (M) Lieu De Travail: Marrakech Et Tanger,non spécifié,6,25/09/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1512,  Chargés De Clientèles,non spécifié,20,25/09/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1513,  Commercial,non spécifié,6,25/09/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1514,  OPÉRATEUR SUR MACHINE,non spécifié,10,25/09/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1515,  Caristes,non spécifié,10,25/09/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1516,  Opérateur De Fabrication De Faisceaux,non spécifié,200,25/09/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1517,   Enseignant Des écoles,non spécifié,3,25/09/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1518,  Conseiller La Clientèle De L’assurance Gérer Les Dossiers Des Sinistres Et Les Contacts D’assurance. Faire Un Suivi Du Portefeuille Client Et Faire Des Propositions De Nouveau Produits,non spécifié,2,22/09/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1519,  Technicien En Irrigation,non spécifié,1,22/09/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1520,  Technicienne Informatique,non spécifié,3,22/09/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1521,  Conseiller En Civilité Et Education(Commercial De Terrain),non spécifié,30,22/09/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1522,  Agents De Maintenance En Froid Et Climatisation,non spécifié,10,21/09/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1523,  EDUCATEUR(CE) SPECIALISE(E),non spécifié,8,21/09/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1524,  AGENT D'ACCUEIL,non spécifié,2,21/09/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1525,  Coursier,non spécifié,1,21/09/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1526,  -Opérateur De Production Sur Kénitra,non spécifié,100,21/09/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1527,"  * Mécanicien Industriel. * Electromécanicien. * Magasinier. * Gestionnaire De Stock,",non spécifié,4,20/09/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1528,   Opérateur De Maintenance Sur Installation Industrielle,non spécifié,100,20/09/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1529,  ANIMATEUR HSE (Hygiène Sécurité Environnement),non spécifié,82,20/09/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1530,  20 AGENTS DE SURVEILLANCE SUR BOUSKOURA + 20 AGENTS DE SURVEILLANCE SUR MEDIOUNA.,non spécifié,40,20/09/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1531,  Commercial/Commerciale. Lieu De Travail: Agadir/Rabat/Tanger /Marrakech,non spécifié,10,20/09/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1532,   Commercial/Commerciale,non spécifié,3,20/09/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1533,   Agent D'entretien Urbain,non spécifié,100,20/09/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1534,  AGENT DE NETTOYAGE,non spécifié,100,20/09/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1535,  ANIMATEURS / ANIMATRICES /PHOTOGRAPHE,non spécifié,10,20/09/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1536,  Soudeurs,non spécifié,3,19/09/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1537,  Opérateurs Et Opératrices De Machine (H/F),non spécifié,15,19/09/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1538,  VENDEUR EN PHARMACIE,non spécifié,1,19/09/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1539,  Conseiller Client En Réception Des Appels,non spécifié,30,19/09/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1540,  Assistante Dentaire,non spécifié,2,19/09/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1541,  Guichetier Dans Une Agence De Transfert D'argent,non spécifié,20,19/09/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1542,  Employé De Libre Service,non spécifié,20,19/09/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1543,  Chaudronniers,non spécifié,3,19/09/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1544,  AGENT DE NETTOYAGE FEMME,non spécifié,3,18/09/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1545,  ASSISTANTE DE DIRECTION,non spécifié,1,18/09/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1546,   Operateur De Production De L’industrie Automobile,non spécifié,400,18/09/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1547,  ASSISTANTE DE DIRECTION HABITANT DEROUA,non spécifié,1,18/09/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1548,  Employé De Libre Service,non spécifié,20,18/09/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1549,  TELEPHONISTE/RAYONISTE,non spécifié,3,18/09/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1550,  Consultant Technique,non spécifié,1,18/09/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1551,  Consultant Technique,non spécifié,1,18/09/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1552,  OUVRIERS AGRICOLES (H/F) DE COLLECTE DE FRUITS ROUGES,non spécifié,100,18/09/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1553,  Techniciens De Laboratoire,non spécifié,3,15/09/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1554,  Ouvrier (e) Agricole - عاملات وعمال في الفلاحة,non spécifié,50,15/09/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1555,  TECHNICIEN BTP,non spécifié,1,15/09/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1556,  OUVRIER AGRICOLE,non spécifié,100,15/09/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1557,  Responsable Villa,non spécifié,1,15/09/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1558,   Téléconseiller,non spécifié,10,15/09/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1559,  Collaborateur En Assurance,non spécifié,2,15/09/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1560,  SECRETAIRE,non spécifié,1,15/09/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1561,  3 Menuisiers Bois,non spécifié,3,14/09/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1562,   Agent D'encadrement Des Industries Agro-alimentaires,non spécifié,5,14/09/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1563,  Agent De Sécurité,non spécifié,2,14/09/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1564,  Vendeur/Vendeuse,non spécifié,11,14/09/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1565,  Sage Femme,non spécifié,1,14/09/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1566,   Opérateur Sur Machines Automatiques En Production électrique Ou électronique.,non spécifié,100,14/09/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1567,   Commercial/Commerciale,non spécifié,1,14/09/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1568,  Electromécanique/Automatisme,non spécifié,1,14/09/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1569,  Caissier/caissière,non spécifié,5,14/09/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1570,  Enseignantes Français Primaire Et Préscolaire (F),non spécifié,2,13/09/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1571,  Enseignantes Arabe Primaire Et Préscolaire (F),non spécifié,2,13/09/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1572,  - Bac Et Plus - Poste : Téléconseiller - Type De Contrat : CI / CDI Selon Le Profil - Salaire : A Discuter - Un Bon Niveau En Français ( Débutant Ou Expérimenté ) - Lieu De Travail : El Jadida,non spécifié,10,13/09/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1573,   Operateur De Production De L’industrie Automobile,non spécifié,1000,13/09/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1574,   Chef Chantier Du Bâtiment Et Des Travaux Publics,non spécifié,1,13/09/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1575,  PROFESSEUR D INFORMATIQUE,non spécifié,3,13/09/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1576,  Responsable Qualité /Management Qualité,non spécifié,1,12/09/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1577,  01 ENSEIGNANTE MATHS ET SVT + 01 ENSEIGNANTE ARABE + 01 ENSEIGNANTE FR,non spécifié,3,12/09/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1578,  TECHNICIEN BEN BIOLOGIE,non spécifié,1,12/09/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1579,  Opérateur De Câblage,non spécifié,60,12/09/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1580,  Secrétaire Administratif,non spécifié,1,12/09/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1581,  - Technicien En Réseaux Informatique + Expérience - Type De Contrat : CDI - Lieu De Travail : El Jadida Ou Casablanca - Permis De Conduire : B Obligatoire,non spécifié,2,12/09/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1582,  1 Assistante Commerciale,non spécifié,1,12/09/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1583,  Opératrice De Câblage,non spécifié,30,12/09/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1584,  Coordinateur Chaine Logistique,non spécifié,1,12/09/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1585,  PROFESSEUR UNIVERSITAIRE DE GENIE INDUSTRIEL,non spécifié,4,12/09/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1586,  PROFESSEUR UNIVERSITAIRE EN GENIE CIVIL,non spécifié,1,12/09/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1587,  Operateur Machine De Biscuiterie عمال و عاملات مختصين في الصناعات الغذائية,non spécifié,100,12/09/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1588,   Responsable Commercial TIC,non spécifié,2,12/09/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1589,  ASSITANTE DE DIRECTION,non spécifié,1,12/09/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1590,  Une Agence De Conseil Et De Développement D'affaires. 3 Commerciaux Sédentaires. Très Bon Niveau D'anglais Exigé.,non spécifié,3,12/09/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1591,  Chauffeur De Camion,non spécifié,1,12/09/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1592,  Cadre Supérieur En Management Des Ressources Humaines.,non spécifié,1,11/09/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1593,  OPERATEURS DE PRODCUTION,non spécifié,10,11/09/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1594,  TECHNICO-COMMERCIAL,non spécifié,1,11/09/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1595,  ASSITANTES RESSOURCES HUMAINES,non spécifié,2,11/09/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1596,  Câbleuses,non spécifié,45,11/09/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1597,  Bac+2 En Commerce-vente Ou Licence/master En Commerce +Expérience - Poste : Agent Commerciale - Type De Contrat : CDI - Lieu De Travail : El Jadida Ou Casablanca - Permis De Conduire : B Obligatoire,non spécifié,2,11/09/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1598,   Vendeur/Vendeuse,non spécifié,2,11/09/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1599,  AIDE COMPTABLE,non spécifié,1,11/09/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1600,  Femme De Ménage Et De Linge,non spécifié,30,11/09/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1601,  ASSISTANT COMPTABLE,non spécifié,1,11/09/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1602,   Commercial/Commerciale,non spécifié,1,11/09/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1603,  1 Assistante De Direction,non spécifié,1,11/09/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1604,  COORDINATEUR DE ZONE POUR UNE FONDATION DE SOUTIEN SCOLAIRE SUR:ELJADIDA.NOUACER.AGADIR.TAROUDANT. SIDI SLIMANE.SKHIRAT ET KHEMISSET,non spécifié,62,08/09/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1605,   Mécanicien D'entretien Sur Machines Industrielles,non spécifié,20,08/09/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
1606,  Opérateur De Production,non spécifié,20,08/09/2023,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
