,Postes,Secteurs,nombre de postes,date publication,date de debut,lieux,contrats,description de profil,formations,Expérience professionnelle,langues,competences spécifiques
100,Réceptionniste/nigth auditeur, Location sans opérateur ,1,08/03/2024,non spécifié, ESSAOUIRA ,CI,Accueil des clients Gestion des réservations,Bac + 2,non spécifié,"Anglais : Moyen, Francais : Bon",non spécifié
101,Dessinateur du bâtiment, Construction ,2,08/03/2024,20/03/2024, FES,CI,"-Etre un collaborateur de l'architecte; -réaliser des plans plus détaillés d’une habitation et de son intérieur; - faire preuve à la fois de rigueur, de précision et de créativité... ",non spécifié,non spécifié,Francais : Moyen,Bac+2
102,Commercial/Commerciale, Activités immobilières ,2,08/03/2024,01/04/2024, MARRAKECH GUELIZ-ENNAKHIL,CI,salaire entre 3000 et 4000 selon le profil,"Technicien ,Commerce et Gestion ",(6 mois - 1 an),"Francais : Bon, Arabe : Bon",non spécifié
103,Opérateur sur machines automatiques en production électrique ou électronique., Industrie automobile ,15,07/03/2024,non spécifié, TANGER-ASSILAH,CI,non spécifié,"Baccalauréat ,Sc expérimentales ",(6 mois - 1 an),"Arabe : Langue maternelle, Francais : Moyen",non spécifié
104,Cadre technique de la production, Industrie automobile ,1,07/03/2024,non spécifié, INEZGANE AIT MELLOUL ,CDD,"• Planifie la capacité de production (équipement, personnel) et les horaires (y compris par exemple les équipes supplémentaires) en fonction des exigences du client. • Coordonne l’utilisation optimale de l’équipement de production • Assure le respect des délais de production • Contrôle l’atteinte des objectifs quotidiens, hebdomadaires et mensuels selon le planning, • Prend en charge le contrôle de la production, • Analyse les résultats de la production de la veille (par exemple, efficacité, qualité, gaspillage de produits, rejets, etc.) et identifier et mettre en place les contre-mesures nécessaires (par exemple, KOSU, KATA) et/ou assurer l’escalade • Assure l’optimisation et l’amélioration continues du processus de production dans le domaine de responsabilité • Vérifie l’ergonomie des postes de travail et initie les mesures d’amélioration nécessaires, • Organise les lieux de travail pour éliminer le gaspillage dans l’atelier en utilisant la méthodologie 5S, • Assure une bonne manipulation des composants et des matériaux, optimise le stockage des matériaux en cours de processus, • Utilise et applique le cycle PDCA afin d’améliorer les processus et les systèmes du domaine de responsabilité • Anime la transversale et contribue au processus d’amélioration continue (CIP) ","Bac + 5, master privé, MBA",(5 ans - 10 ans),"Anglais : Courant, Francais : Courant",non spécifié
105,Cadre technique de la production, Travail des métaux ,1,07/03/2024,18/03/2024, EL JADIDA ,CDD,non spécifié,"Ingénieur ,Génie industriel ",non spécifié,non spécifié,non spécifié
106,Cadre technique d'hygiène et sécurité, Travail des métaux ,1,07/03/2024,15/03/2024, EL JADIDA ,CDD,non spécifié,"Formation qualifiante ,Hygiène- sécurité- environnement ",(1 an - 2 ans),non spécifié,non spécifié
107,Enseignant chercheur, Education ,1,07/03/2024,non spécifié, RHAMNA,CDD,• Mener des recherches scientifiques au sein d'une équipe composée de chercheurs multidisciplinaires; • Superviser des étudiants diplômés au sein de l'ACER CoE ; • Participer au développement de projets et programmes de recherche financés dans le domaine en collaboration avec des groupes multidisciplinaires du domaine; • Présenter les résultats de la recherche et les résultats scientifiques aux parties prenantes et lors de réunions et conférences scientifiques ; • Publier les résultats de la recherche dans des revues universitaires internationales à comité de lecture et à fort impact dans le domaine.,non spécifié,non spécifié,non spécifié,non spécifié
108,Enseignant chercheur, Education ,1,07/03/2024,non spécifié, RHAMNA,CDI,"- Élaborer et mettre en œuvre des plans de recherche et de développement pour atteindre les buts et objectifs du projet. - Diriger une équipe de scientifiques et d'ingénieurs dans la conception, le développement et l'essai de prototypes de batteries lithium-ion avancées. - Superviser l'évaluation de nouveaux matériaux, composants et technologies à utiliser dans les batteries lithium-ion. - Collaborer avec des équipes interfonctionnelles, notamment dans les domaines de la fabrication, du développement de produits et du marketing, afin d'assurer la réussite de la commercialisation des nouveaux produits. - Se tenir au courant des tendances de l'industrie et des progrès de la technologie des batteries lithium-ion. - Veiller au respect de toutes les réglementations pertinentes, y compris les protocoles de santé et de sécurité. ",non spécifié,non spécifié,non spécifié,non spécifié
109,Enseignant chercheur, Education ,1,07/03/2024,non spécifié, RHAMNA,CDI,"• Enseigner aux étudiants de troisième cycle dans des domaines tels que les algorithmes, les langages de programmation, l'apprentissage automatique, les systèmes d'exploitation, les bases de données, l'informatique en nuage, les compilateurs, la virtualisation, les systèmes distribués et la sécurité. • Enseigner aux étudiants de premier cycle dans les domaines généraux de l'informatique. • Développer des projets de recherche ambitieux. • Utiliser différents outils de communication et de diffusion. • Suivre des formations permanentes afin d'améliorer leurs compétences et de les maintenir à jour. • Superviser les étudiants de troisième cycle. ",non spécifié,non spécifié,non spécifié,non spécifié
110,Conducteur livreur, Commerce de gros et intermédiaires du commerce ,2,07/03/2024,non spécifié, CASA-AIN CHOCK HAY HASSANI ,CDD,non spécifié,"Baccalauréat ,Sc expérimentales ",non spécifié,"Anglais : Bon, Arabe : Langue maternelle",non spécifié
111,Agent d'accueil, Commerce de gros et intermédiaires du commerce ,1,07/03/2024,non spécifié, CASA-AIN CHOCK HAY HASSANI ,CI,non spécifié,"Technicien spécialisé ,Gestion des entreprises ",non spécifié,"Francais : Bon, Anglais : Bon, Arabe : Langue maternelle",non spécifié
112,Entraîneur sportif, Administration publique ,47,07/03/2024,01/05/2024, CHTOUKA AIT BAHA,CDD,MAITRE NAGEUR SAUVETEUR RESIDANT DANS LA PROVINCE DE CHTOUKA AIT BAHA,non spécifié,non spécifié,non spécifié,non spécifié
113,Agent de sécurité et de surveillance, Administration publique ,47,07/03/2024,non spécifié, CHTOUKA AIT BAHA,CDD,Maitres nageurs sauveteurs saisonniers pour la saison balnéaire 2024 .,"Baccalauréat ,Lettres originelles ",non spécifié,Arabe : Bon,non spécifié
114,Développeur, Conseil en systèmes informatiques ,1,07/03/2024,non spécifié, OUJDA ANGAD,CDD,non spécifié,"Bac + 5, master privé, MBA ,Ingénierie Informatique et Génie logiciel ",(moins de 6 mois),"Francais : Bon, Anglais : Moyen",non spécifié
115,Conseiller agricole, Conseil en systèmes informatiques ,1,07/03/2024,non spécifié, OUJDA ANGAD,CDD,non spécifié,"Technicien spécialisé ,Tech sup en agronomie ",(moins de 6 mois),Francais : Bon,"ou plus, ou autre profil commercial avec l'expérience requise dans ce domaine agricole"
116,Responsable de la gestion des ressources humaines, Conseil en systèmes informatiques ,1,07/03/2024,non spécifié, OUJDA ANGAD,CDD,-connaissance de la gestion du personnel -maitrise de l'outil ODOO (RH),"Bac + 3, bachelor ,Gestion des ressources humaines ",(moins de 6 mois),Francais : Bon,"ou plus, ou autre diplôme équivalent (avec connaissance de l'outil ODOO)"
117,Employé administratif d'assurances, Assurance ,1,07/03/2024,non spécifié, CASA-AIN CHOCK HAY HASSANI ,CI,non spécifié,"Technicien spécialisé ,Gestion des entreprises ",non spécifié,Francais : Bon,non spécifié
118,Employé d'entretien (collectivité), Services fournis principalement aux entreprises ,2,07/03/2024,non spécifié, MDIQ,CI,non spécifié,Baccalauréat,non spécifié,Arabe : Langue maternelle,*L'endurance physique/La maitrise des gestes d'urgence et de premier secours/La maitrise des techniques de nage
119,Entraîneur sportif, Services fournis principalement aux entreprises ,4,07/03/2024,non spécifié, MDIQ,CI,non spécifié,Baccalauréat,non spécifié,Arabe : Langue maternelle,*L'endurance physique/La maitrise des gestes d'urgence et de premier secours/La maitrise des techniques de nage
120,Employé de gestion administrative, Industries alimentaires ,1,07/03/2024,non spécifié, CASA-AIN CHOCK HAY HASSANI ,CI,non spécifié,"Technicien spécialisé ,Comptabilité et Gestion ",(6 mois - 1 an),Francais : Bon,non spécifié
121,Cariste, Services fournis principalement aux entreprises ,5,07/03/2024,18/03/2024, ERRACHIDIA ,CDD,le salaire a négocié avec l'employeur,non spécifié,(moins de 6 mois),Arabe : Langue maternelle,non spécifié
122,Aide soignant, Santé et action sociale ,1,07/03/2024,non spécifié, SALE ,CI,non spécifié,"Diplôme de qualification professionnelle ,Aide soignant ",non spécifié,non spécifié,non spécifié
123,Vendeur/Vendeuse, Santé et action sociale ,1,07/03/2024,non spécifié, FES,CI,non spécifié,"Diplôme du 2ème cycle universitaire ,Science de la vie ",(6 mois - 1 an),Francais : Bon,non spécifié
124,Responsable d'hébergement, Activités immobilières ,1,07/03/2024,non spécifié, CASABLANCA-ANFA,CI,Responsable directe de toute activite d'intermediaire immobilier et de gestion locative,"Bac + 3, bachelor ,Comptabilité-contrôle-audit ",non spécifié,"Francais : Courant, Anglais : Bon, Arabe : Courant",non spécifié
125,Agent d'encadrement de produit électrique ou électronique, Industrie automobile ,1,07/03/2024,non spécifié, INEZGANE AIT MELLOUL ,CDI,"• Planifier et gérer le processus de production (y compris l'équipement, le personnel) pendant le quart de travail dans la zone de responsabilité • Contrôler l'utilisation des équipements de production • Assurer la production à temps (conformément aux exigences spécifiques du client) • Contrôler la réalisation des objectifs de quart (qualité et quantité) selon le calendrier • Prendre en charge le contrôle de la production • Garantir le contrôle et l'analyse réguliers et continus des résultats de production pendant le quart de travail (par exemple efficacité, qualité, gaspillage de produits, rejets, etc.) • Identifier et introduire les contre-mesures nécessaires (par exemple KOSU, KATA) et / ou assurer l'escalade • Assurer l'optimisation et l'amélioration continues du processus de production dans le domaine de la responsabilité • Introduire les mesures pour atteindre les objectifs de production du quart de travail (performance, qualité, motivation du personnel, coûts) • Assurer la gestion des personnes pendant le quart de travail ","Bac + 3, bachelor",(3 ans - 5 ans),Francais : Courant,non spécifié
126,Réceptionniste/nigth auditeur, Hôtellerie et restauration ,4,07/03/2024,14/03/2024, AGADIR,CDD,non spécifié,"Technicien ,Service de restauration ",(1 an - 2 ans),Francais : Bon,non spécifié
127,Conducteur de station de pompage ou d'épuration (eau)," Captage, traitement et distribution d'eau ",20,06/03/2024,18/03/2024, CASABLANCA-ANFA,CI,"Mission : Rattaché à un chef d'équipe, vous aurez pour mission principale de réaliser les travaux urgents et programmés sur le réseau tertiaire eau et assainissement ainsi que les branchements et raccordements clients. Tâches : • Réaliser, sous la supervision du chef d’équipe, toute intervention sur les réseaux et les ouvrages eau et assainissement et en particulier : • Repérer et déterrer les ouvrages, • Réparer et reconstruire les ouvrages, • Remonter toute anomalie constatée sur les réseaux Lydec, • Assurer l’astreinte  Pour les opérations d’eau : • Manœuvrer les vannes, • Réparer les fuites sur branchements, conduites, vannes ou bouches d’incendie, • Changer les compteurs, • Curer les abris des compteurs, • Réaliser les travaux de branchement et poses raccords, * Pour les opérations d’assainissement : • Réaliser les branchements, • Déboucher et curer les ouvrages, • Réaliser des travaux de terrassement, sondage et maçonnerie, • Réaliser, à titre exceptionnel, des opérations sur les autres réseaux gérés par Lydec. ","Technicien ,Chef de chantiers travaux publics ",(1 an - 2 ans),"Anglais : Notions, Arabe : Langue maternelle, Francais : Bon",non spécifié
128,Agent de traitements dépolluants," Captage, traitement et distribution d'eau ",10,06/03/2024,18/03/2024, CASABLANCA-ANFA,CI,Tâches : • Conduire et manipuler l’engin hydrocureur • Opérer dans le domaine de l’assainissement • Entretenir les réseaux d’assainissement • Respecter strictement les règles de la sécurité • Rendre compte à la hiérarchie du travail de la journée • Remonter les anomalies constatées sur l’engin hydrocureur • Remonter les anomalies constatées sur le réseau d’assainissement • Respecter les règles éthiques Lydec ,"Diplôme de qualification professionnelle ,Installateur en thermique et sanitaire ",(1 an - 2 ans),"Arabe : Langue maternelle, Francais : Bon",non spécifié
129,Agent de montage-assemblage de la construction mécanique, Services fournis principalement aux entreprises ,90,06/03/2024,15/03/2024, TANGER-FAHS-ANJRA,CDI,non spécifié,Diplôme de qualification professionnelle,non spécifié,non spécifié,non spécifié
130,Agent de sécurité et de surveillance, Services fournis principalement aux entreprises ,20,06/03/2024,07/03/2024, MDIQ,CDD,poste d'agent de sécurité basé à M'diq pour homme ayant un BAC avec un bon niveau en langue française ,"Baccalauréat ,Lettres modernes (bilingues/arabisées) ",(6 mois - 1 an),Francais : Bon,non spécifié
131,Aide comptable, Services fournis principalement aux entreprises ,1,06/03/2024,non spécifié, AGADIR UNIVERSITAIRE,CI,non spécifié,"Technicien spécialisé ,Comptabilité et Gestion ",non spécifié,Francais : Bon,non spécifié
132,Monteur câbleur en électronique., Fabrication de machines et appareils électriques ,150,06/03/2024,non spécifié, CASA-AIN SEBAA HAY MOHAMEDI,CI,non spécifié,non spécifié,non spécifié,non spécifié,non spécifié
133,Infirmier polyvalent , Autres ,40,06/03/2024,18/03/2024, MEKNES-EL MENZEH,CDD,non spécifié,"Technicien ,Infirmier polyvalent ",non spécifié,"Arabe : Bon, Francais : Bon",non spécifié
134,Conducteur livreur, Commerce de gros et intermédiaires du commerce ,10,06/03/2024,01/04/2024, TAROUDANT ,CI,"Conducteur livreur avec permis C : • D’organiser votre tournée en fonction des impératifs et des plannings, • De procéder aux vérifications d’usages du véhicule avant de démarrer vos livraisons, • De gérer les documents administratifs relatifs aux livraisons, • De vérifier votre chargement de marchandises, • De faire les livraisons et distribution de marchandises aux clients aussi prospecter de nouveaux clients. ",non spécifié,(1 an - 2 ans),non spécifié,non spécifié
135,Secrétaire de direction, Industrie chimique ,1,06/03/2024,non spécifié, KENITRA ,CI,GESTION DE LA DIRECTION. ACCUEIL ET ASSISTANCE DES CLIENTS. EXECUTION DES TACHES ADMINISTRATIVES. GESTION DE LA DOCUMENTATION.,"Technicien spécialisé ,Secrétariat de direction ",non spécifié,Francais : Bon,non spécifié
136,Technicien topographe, Construction ,1,06/03/2024,non spécifié, TETOUAN ,CI,non spécifié,"Technicien ,Topographie ",(2 ans - 3 ans),"Francais : Bon, Anglais : Moyen",non spécifié
137,Operateur de production de l’industrie automobile, Industrie automobile ,30,06/03/2024,18/03/2024, TANGER-FAHS-ANJRA,CI,non spécifié,Baccalauréat,non spécifié,non spécifié,non spécifié
138,"Vendeur en produits utilitaires (outillage, bricolage, droguerie....)", Commerce de détail et réparation d'articles domestiques ,1,06/03/2024,01/04/2024, TAROUDANT ,CI,Accueillir les clients et les orienter selon leurs besoins et motivations Proposer des produits pertinents Vendre et assurer l'encaissement des produits,non spécifié,(6 mois - 1 an),"Tachelhit : Bon, Arabe : Langue maternelle",non spécifié
